date,month,season,district,spice,temperature_c,rainfall_mm,humidity,weather_condition,supply_index,demand_index,market_price_lkr_per_kg
2023-08-07,August,Yala,Kurunegala,Pepper,28,170,85,Rainy,0.54,0.81,1740
2023-08-08,August,Yala,Galle,Clove,27,200,88,Rainy,0.49,0.84,3420
2023-08-09,August,Yala,Matale,Nutmeg,27,185,87,Rainy,0.51,0.82,2920
2023-08-10,August,Yala,Kandy,Cardamom,26,195,88,Rainy,0.50,0.83,3620
2023-08-11,August,Yala,Matale,Pepper,28,175,86,Rainy,0.53,0.82,1760

2023-09-05,September,InterMonsoon,Matale,Cinnamon,30,90,78,Cloudy,0.66,0.79,2000
2023-09-06,September,InterMonsoon,Kandy,Cinnamon,29,95,79,Cloudy,0.65,0.80,2030
2023-09-07,September,InterMonsoon,Kurunegala,Pepper,30,85,77,Cloudy,0.67,0.78,1710
2023-09-08,September,InterMonsoon,Galle,Clove,29,110,81,Showers,0.62,0.82,3380
2023-09-09,September,InterMonsoon,Matale,Nutmeg,29,100,80,Showers,0.64,0.80,2890
2023-09-10,September,InterMonsoon,Kandy,Cardamom,28,105,81,Showers,0.63,0.81,3580
2023-09-11,September,InterMonsoon,Matale,Pepper,29,92,79,Cloudy,0.66,0.79,1725

2023-10-05,October,Maha,Kandy,Cinnamon,28,260,91,HeavyRain,0.40,0.87,2280
2023-10-06,October,Maha,Matale,Cinnamon,27,250,90,HeavyRain,0.42,0.86,2250
2023-10-07,October,Maha,Kurunegala,Pepper,28,230,88,Rainy,0.46,0.84,1820
2023-10-08,October,Maha,Galle,Clove,27,270,92,Storm,0.35,0.91,3550
2023-10-09,October,Maha,Matale,Nutmeg,26,255,91,Rainy,0.39,0.88,3080
2023-10-10,October,Maha,Kandy,Cardamom,26,265,92,Rainy,0.38,0.90,3750
2023-10-11,October,Maha,Matale,Pepper,27,240,89,Rainy,0.44,0.86,1850

2023-11-05,November,Maha,Matale,Cinnamon,27,280,92,Storm,0.38,0.89,2320
2023-11-06,November,Maha,Kandy,Cinnamon,26,290,93,Storm,0.36,0.90,2350
2023-11-07,November,Maha,Kurunegala,Pepper,27,260,90,Rainy,0.41,0.87,1880
2023-11-08,November,Maha,Galle,Clove,26,300,94,Storm,0.33,0.92,3600
2023-11-09,November,Maha,Matale,Nutmeg,26,270,91,Rainy,0.37,0.89,3120
2023-11-10,November,Maha,Kandy,Cardamom,25,285,92,Rainy,0.36,0.91,3800
2023-11-11,November,Maha,Matale,Pepper,27,265,90,Rainy,0.40,0.88,1900

2023-12-05,December,Maha,Matale,Cinnamon,26,260,91,Rainy,0.41,0.87,2280
2023-12-06,December,Maha,Kandy,Cinnamon,26,270,92,Rainy,0.39,0.88,2300
2023-12-07,December,Maha,Kurunegala,Pepper,27,240,89,Rainy,0.44,0.86,1840
2023-12-08,December,Maha,Galle,Clove,26,280,93,Storm,0.35,0.90,3520
2023-12-09,December,Maha,Matale,Nutmeg,25,255,91,Rainy,0.40,0.88,3050
2023-12-10,December,Maha,Kandy,Cardamom,25,265,92,Rainy,0.38,0.89,3720
2023-12-11,December,Maha,Matale,Pepper,26,250,90,Rainy,0.42,0.87,1860
