clip_id,audio_path,transcript,duration_seconds,rms_mean,rms_std,f0_mean,f0_std,zcr_mean,spectral_centroid_mean,tempo_proxy,transcript_char_len,transcript_word_count,urgency_count,money_count,secrecy_count,pressure_count,id_avoidance_count,otp_pin_count,decision
clip_0011,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0011.wav,I didn't aware about the creepy,5.0,0.011326,0.012916,0.0,0.0,0.159724,1709.72,98.68,31,6,0,0,0,0,0,0,PROCEED
clip_0012,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0012.wav,I didn't aware about the grip irrigation system. Actually earlier...,5.0,0.015756,0.011329,1986.99,8.12,0.175389,1839.21,125.0,68,10,0,0,0,0,0,0,PROCEED
clip_0013,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0013.wav,"Actually earlier, we used many fertilizers. We didn't have any management system.",5.0,0.016654,0.010951,1993.9,9.18,0.191412,1954.49,133.93,81,12,0,0,0,0,0,0,PROCEED
clip_0014,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0014.wav,"We didn't have any management system, but now I am using once a week only.",5.0,0.024082,0.02207,706.44,791.76,0.174543,1740.06,125.0,74,15,1,0,0,0,0,0,PROCEED
clip_0015,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0015.wav,It's all about 4 to 5 kg.,5.0,0.018808,0.021734,317.96,152.9,0.161276,1690.94,133.93,25,7,0,0,0,0,0,0,PROCEED
clip_0016,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0016.wav,"4 to 5 kg, 4 to 5 kg of fertilizer.",5.0,0.014566,0.018239,791.87,848.22,0.181392,1834.78,133.93,35,10,0,0,0,0,0,0,PROCEED
clip_0017,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0017.wav,45 kg of Fertilizer If I still I am,5.0,0.014572,0.014012,2027.65,19.07,0.180801,1826.31,133.93,35,9,0,0,0,0,0,0,PROCEED
clip_0018,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0018.wav,"Still I am learning and developing my farming methods, but I feel like...",5.0,0.020062,0.016699,2038.23,20.58,0.179174,1804.67,144.23,73,13,0,0,0,0,0,0,PROCEED
clip_0019,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0019.wav,"Now I'm so better, but I'm doing it really great than earlier.",5.0,0.016018,0.014564,296.99,247.19,0.164613,1719.91,170.45,62,12,1,0,0,0,0,0,PROCEED
clip_0020,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0020.wav,I am so happy about this plant as a system and the product.,5.0,0.016927,0.015721,1238.29,552.35,0.199635,1997.65,125.0,59,13,0,0,0,0,0,0,PROCEED
clip_0021,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0021.wav,very labor-saving technology. No need to use traditional methods. It's so.,5.0,0.018288,0.010213,1999.39,26.84,0.202534,1907.18,133.93,74,11,0,0,0,0,0,0,PROCEED
clip_0022,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0022.wav,it's actually wasting a lot of time and energy as well.,5.0,0.015016,0.015072,1406.52,856.87,0.209075,2064.44,125.0,55,11,0,0,0,0,0,0,PROCEED
clip_0023,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0023.wav,I believe everybody would like to do some systematic call it,5.0,0.014138,0.014859,265.05,76.42,0.185833,2035.61,133.93,60,11,0,0,0,0,0,0,PROCEED
clip_0024,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0024.wav,some systematic quality work.,5.0,0.008643,0.012938,174.89,29.41,0.169486,1880.8,133.93,29,4,0,0,0,0,0,0,PROCEED
clip_0025,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0025.wav,"quality work, and they provide net distance.",5.0,0.010852,0.015082,1977.86,13.32,0.178251,1878.06,156.25,44,7,0,0,0,0,0,0,PROCEED
clip_0026,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0026.wav,"and they provide NET, this technology.",5.0,0.01127,0.013146,1982.74,15.1,0.189254,1922.84,125.0,38,6,0,0,0,0,0,0,PROCEED
clip_0027,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0027.wav,"They provide NET, this technology, creep irrigation system, this polymulti-",5.0,0.016013,0.014335,1988.38,14.15,0.222628,2082.36,117.19,75,10,0,0,0,0,0,0,PROCEED
clip_0028,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0028.wav,"system, this polymulcher and everything.",5.0,0.012837,0.012533,141.44,14.35,0.188029,1898.23,110.29,40,5,0,0,0,0,0,0,PROCEED
clip_0029,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0029.wav,and everything provided by SAP Project.,5.0,0.014087,0.01584,148.9,12.33,0.151386,1612.64,133.93,39,6,0,0,0,0,0,0,PROCEED
clip_0030,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0030.wav,"project. Actually, what SEP is doing, according to my understanding...",5.0,0.014583,0.015639,1994.65,5.43,0.161932,1687.93,144.23,70,10,0,0,0,0,0,0,PROCEED
clip_0031,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0031.wav,"is doing, according to my understanding, they are creating a sub-",5.0,0.013504,0.012951,1991.91,5.7,0.186763,1819.75,144.23,65,11,0,0,0,0,0,0,PROCEED
clip_0032,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0032.wav,cultivation system. I feel the change. That's why I'm talking.,5.0,0.018141,0.013727,1585.27,759.6,0.208521,1936.05,125.0,62,10,0,0,0,0,0,0,PROCEED
clip_0033,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0033.wav,It's actually...,5.0,0.011435,0.008375,594.39,263.85,0.168445,1715.07,156.25,16,2,0,0,0,0,0,0,PROCEED
clip_0034,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0034.wav,Time-wasting,5.0,0.01079,0.015817,222.63,34.76,0.185233,1853.62,187.5,12,1,0,0,0,0,0,0,PROCEED
clip_0035,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0035.wav,That's not the case. That's not the case. The reason is that we have to be satisfied with the safety.,5.0,0.005291,0.004425,246.36,54.47,0.173909,1893.47,110.29,101,20,0,0,0,0,0,0,PROCEED
clip_0036,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0036.wav,"My name is Hemamala Akula Ratna, I'm working as a valet.",5.0,0.017066,0.019956,135.93,18.22,0.1634,1744.13,156.25,56,11,0,0,0,0,0,0,PROCEED
clip_0037,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0037.wav,I am working as a value chain mobilizer for SAP project.,5.0,0.014205,0.014768,151.41,31.21,0.159257,1726.68,110.29,56,11,0,0,0,0,0,0,PROCEED
clip_0038,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0038.wav,This is a Cuse project. Our target is...,5.0,0.014753,0.024144,180.84,50.56,0.191403,1970.37,144.23,40,8,0,0,0,0,0,0,PROCEED
clip_0039,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0039.wav,project. Our target is 100 farmers.,5.0,0.01816,0.02713,638.4,729.1,0.180431,1832.57,78.12,35,6,0,0,0,0,0,0,PROCEED
clip_0040,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0040.wav,and also we created access to market.,5.0,0.012754,0.018506,346.53,461.86,0.178879,1876.64,110.29,37,7,0,0,0,0,0,0,PROCEED
clip_0041,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0041.wav,And also we created access to market by producing...,5.0,0.016398,0.01967,138.41,34.55,0.16981,1796.13,125.0,52,9,0,0,0,0,0,0,PROCEED
clip_0042,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0042.wav,by producing quality production for the KU supermarkets.,5.0,0.017337,0.017179,115.07,15.18,0.164908,1711.44,104.17,56,8,0,0,0,0,0,0,PROCEED
clip_0043,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0043.wav,quality production for the KU supermarket chain.,5.0,0.01359,0.016124,547.06,638.44,0.174826,1793.85,117.19,48,7,0,0,0,0,0,0,PROCEED
clip_0044,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0044.wav,They received one hundred and twenty,5.0,0.012774,0.020313,224.7,65.28,0.166448,1838.46,187.5,36,6,0,0,0,0,0,0,PROCEED
clip_0045,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0045.wav,They receive 120 lakhs rupees as a loan.,5.0,0.024059,0.027267,309.16,227.59,0.160032,1727.91,133.93,40,8,0,0,0,0,0,0,PROCEED
clip_0046,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0046.wav,loan from the HNB bank and also Polymarch.,5.0,0.022258,0.024519,125.38,9.33,0.16011,1686.71,133.93,42,8,0,0,0,0,0,0,PROCEED
clip_0047,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0047.wav,"polymers, the net, grip irrigation system and other equipments.",5.0,0.023182,0.026637,118.48,11.06,0.188439,1910.54,104.17,63,9,0,0,0,0,0,0,PROCEED
clip_0048,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0048.wav,system and other equipments they receive as a grant.,5.0,0.019184,0.024183,1148.67,523.32,0.194781,2029.73,104.17,52,9,0,0,0,0,0,0,PROCEED
clip_0049,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0049.wav,This is the good example what we actually,5.0,0.012305,0.016968,216.38,84.49,0.182841,1927.37,104.17,41,8,0,0,0,0,0,0,PROCEED
clip_0050,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0050.wav,What we achieved so far. This is actually a very good successful story,5.0,0.014682,0.013318,250.04,17.43,0.180925,1858.64,144.23,70,13,0,0,0,0,0,0,PROCEED
clip_0051,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0051.wav,story when it comes to DTI Dayananda Pharma.,5.0,0.014169,0.015435,241.16,20.2,0.184294,1854.69,110.29,44,8,0,0,0,0,0,0,PROCEED
clip_0052,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0052.wav,"the idea of the farmer, how he managed.",5.0,0.013815,0.018102,228.87,60.35,0.173197,1838.68,110.29,39,8,0,0,0,0,0,0,PROCEED
clip_0053,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0053.wav,"farmer, how he manage his farming.",5.0,0.01421,0.02131,225.83,61.45,0.178605,1872.96,125.0,34,6,0,0,0,0,0,0,PROCEED
clip_0054,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0054.wav,farming earlier and now is very different and he's very,5.0,0.021749,0.024537,259.88,129.14,0.162084,1658.81,110.29,55,10,1,0,0,0,0,0,PROCEED
clip_0055,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0055.wav,"Currently, he is using very minimum fertilizer.",5.0,0.011221,0.013277,189.26,64.0,0.150077,1713.23,110.29,47,7,0,0,0,0,0,0,PROCEED
clip_0056,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0056.wav,"fertilizer, water and other resources for the cultivation.",5.0,0.012826,0.011723,97.18,1.19,0.150677,1604.54,117.19,58,8,0,0,0,0,0,0,PROCEED
clip_0057,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0057.wav,for the cultivation and he is earning good profit by doing this cultivation.,5.0,0.014752,0.018901,126.71,2.49,0.147756,1585.15,117.19,76,13,0,0,0,0,0,0,PROCEED
clip_0058,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0058.wav,in good profit by doing this cultivation.,5.0,0.012573,0.018994,195.63,52.33,0.146254,1595.06,110.29,41,7,0,0,0,0,0,0,PROCEED
clip_0059,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0059.wav,This Kheels Govithiri project is one of the best examples when it comes to our four people.,5.0,0.021807,0.0215,240.14,111.52,0.155861,1611.13,156.25,91,17,0,0,0,0,0,0,PROCEED
clip_0060,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0060.wav,4B value chain development programs.,5.0,0.011765,0.013931,507.91,387.5,0.153532,1604.8,133.93,36,5,0,0,0,0,0,0,PROCEED
clip_0061,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0061.wav,But there are some ways to follow them.,5.0,0.002761,0.002985,566.03,33.3,0.216713,2229.18,133.93,39,8,0,0,0,0,0,0,PROCEED
clip_0062,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0062.wav,,5.0,0.003348,0.003116,488.19,131.51,0.190887,2019.05,133.93,0,0,0,0,0,0,0,0,PROCEED
clip_0063,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0063.wav,,5.0,0.003466,0.003353,504.45,121.15,0.191621,2028.44,133.93,0,0,0,0,0,0,0,0,PROCEED
clip_0064,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0064.wav,,5.0,0.003583,0.002988,223.59,18.53,0.177986,1926.33,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0065,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0065.wav,,5.0,0.002889,0.002937,383.85,153.9,0.187575,2028.21,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0066,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0066.wav,,5.0,0.002813,0.002573,345.1,142.44,0.191515,2043.01,156.25,0,0,0,0,0,0,0,0,PROCEED
clip_0067,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0067.wav,"One is the vertical duration, and the other is the length.",5.0,0.002518,0.002442,427.38,151.94,0.195017,2095.73,156.25,58,11,0,0,0,0,0,0,PROCEED
clip_0068,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0068.wav,,5.0,0.002986,0.002518,332.4,160.71,0.193151,2034.65,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0069,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0069.wav,"When I left the school at the age of 70, I had a...",5.0,0.003071,0.002958,384.9,182.69,0.212987,2174.82,117.19,51,13,0,0,0,0,0,0,PROCEED
clip_0070,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0070.wav,,5.0,0.003,0.00255,497.72,111.31,0.19967,2067.87,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0071,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0071.wav,,5.0,0.002803,0.00226,542.06,48.45,0.18016,1940.71,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0072,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0072.wav,,5.0,0.002827,0.002593,491.28,148.66,0.195449,2055.52,117.19,0,0,0,0,0,0,0,0,PROCEED
clip_0073,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0073.wav,,5.0,0.002803,0.002801,299.72,131.21,0.193904,2034.14,144.23,0,0,0,0,0,0,0,0,PROCEED
clip_0074,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0074.wav,,5.0,0.002645,0.002664,512.24,121.65,0.209796,2132.79,110.29,0,0,0,0,0,0,0,0,PROCEED
clip_0075,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0075.wav,,5.0,0.003816,0.003138,247.63,122.44,0.183603,1939.64,156.25,0,0,0,0,0,0,0,0,PROCEED
clip_0076,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0076.wav,Thank you very much.,5.0,0.003065,0.00322,249.65,38.98,0.198849,2051.85,117.19,20,4,0,0,0,0,0,0,PROCEED
clip_0077,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0077.wav,"In 1972, this letter from Thomas Stein.",5.0,0.002858,0.002913,252.9,36.61,0.222131,2179.34,125.0,39,7,0,0,0,0,0,0,PROCEED
clip_0078,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0078.wav,We promise to do some,5.0,0.006842,0.006929,388.56,137.85,0.170805,1757.35,125.0,21,5,0,0,0,1,0,0,PROCEED
clip_0079,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0079.wav,,5.0,0.008397,0.007303,376.29,160.62,0.156178,1649.68,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0080,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0080.wav,,5.0,0.007051,0.006584,291.31,99.53,0.172842,1821.33,110.29,0,0,0,0,0,0,0,0,PROCEED
clip_0081,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0081.wav,and he has given the responsibility to me. I left the school at the age of 17.,5.0,0.006167,0.005099,235.24,27.97,0.197928,1936.08,110.29,78,17,0,0,0,0,0,0,PROCEED
clip_0082,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0082.wav,,5.0,0.006819,0.007466,289.96,36.84,0.183112,1893.81,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0083,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0083.wav,Now we have to go to the...,5.0,0.005867,0.00605,331.11,121.37,0.199716,1971.63,117.19,27,7,1,0,0,0,0,0,PROCEED
clip_0084,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0084.wav,,5.0,0.012756,0.011998,376.89,293.86,0.168715,1738.72,117.19,0,0,0,0,0,0,0,0,PROCEED
clip_0085,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0085.wav,And we are used. It's the customary practice. We are not...,5.0,0.006111,0.006674,304.53,36.38,0.190134,1974.75,125.0,59,11,0,0,0,0,0,0,PROCEED
clip_0086,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0086.wav,,5.0,0.003208,0.003855,1207.1,46.3,0.182947,2008.14,144.23,0,0,0,0,0,0,0,0,PROCEED
clip_0087,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0087.wav,,5.0,0.0034,0.004276,1227.7,49.97,0.172394,1862.45,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0088,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0088.wav,,5.0,0.004211,0.005717,552.98,454.36,0.16461,1827.67,104.17,0,0,0,0,0,0,0,0,PROCEED
clip_0089,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0089.wav,"That's good, that's good. That's good.",5.0,0.006062,0.009362,204.45,17.8,0.17139,1937.38,110.29,38,6,0,0,0,0,0,0,PROCEED
clip_0090,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0090.wav,,5.0,0.002627,0.003003,200.7,56.05,0.204139,2093.68,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0091,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0091.wav,,5.0,0.00294,0.001758,379.3,71.77,0.157964,1810.16,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0092,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0092.wav,,5.0,0.007435,0.007546,239.73,51.07,0.163867,1759.48,117.19,0,0,0,0,0,0,0,0,PROCEED
clip_0093,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0093.wav,"Going in order, I'm done.",5.0,0.006144,0.004954,263.08,60.05,0.179719,1820.81,125.0,25,5,0,0,0,0,0,0,PROCEED
clip_0094,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0094.wav,But there are some ways to follow them.,5.0,0.002761,0.002985,566.03,33.3,0.216713,2229.18,133.93,39,8,0,0,0,0,0,0,PROCEED
clip_0095,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0095.wav,"But, they are awesome, really. All sit down.",5.0,0.002946,0.003108,0.0,0.0,0.21754,2163.17,110.29,44,8,0,0,0,0,0,0,PROCEED
clip_0096,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0096.wav,Sit down. We'll be right back.,5.0,0.003179,0.003215,0.0,0.0,0.214085,2119.65,89.29,30,6,0,0,0,0,0,0,PROCEED
clip_0097,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0097.wav,,5.0,0.003126,0.002805,411.43,157.3,0.199791,2047.19,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0098,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0098.wav,,5.0,0.003305,0.003039,461.23,153.71,0.192579,2043.21,133.93,0,0,0,0,0,0,0,0,PROCEED
clip_0099,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0099.wav,,5.0,0.003032,0.002947,350.04,152.68,0.18401,1994.85,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0100,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0100.wav,the people are doing something other than the highland area.,5.0,0.003239,0.002733,211.99,24.98,0.214271,2119.06,104.17,60,10,0,0,0,0,0,0,PROCEED
clip_0101,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0101.wav,,5.0,0.003912,0.003621,516.1,121.93,0.210981,2100.82,93.75,0,0,0,0,0,0,0,0,PROCEED
clip_0102,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0102.wav,,5.0,0.004266,0.003833,466.13,172.16,0.204748,2040.14,110.29,0,0,0,0,0,0,0,0,PROCEED
clip_0103,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0103.wav,That's an apartment. My great-great-great father sold the apartment and they had the...,5.0,0.004217,0.002938,279.79,155.92,0.194532,1959.31,125.0,87,13,0,0,0,0,0,0,PROCEED
clip_0104,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0104.wav,,5.0,0.003633,0.002288,355.12,178.07,0.172565,1878.56,93.75,0,0,0,0,0,0,0,0,PROCEED
clip_0105,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0105.wav,,5.0,0.001988,0.001955,184.07,94.87,0.206978,2195.74,117.19,0,0,0,0,0,0,0,0,PROCEED
clip_0106,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0106.wav,,5.0,0.002959,0.002267,345.25,174.29,0.169577,1884.67,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0107,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0107.wav,,5.0,0.003281,0.002893,443.03,159.54,0.181945,1945.11,125.0,0,0,0,0,0,0,0,0,PROCEED
clip_0108,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0108.wav,"Do this, do this.",5.0,0.003092,0.002765,345.33,186.92,0.208098,2085.08,125.0,17,4,0,0,0,0,0,0,PROCEED
clip_0109,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0109.wav,,5.0,0.005132,0.003237,493.23,161.82,0.15871,1778.11,98.68,0,0,0,0,0,0,0,0,PROCEED
clip_0110,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0110.wav,I don't know how much time.,5.0,0.003458,0.002961,385.88,156.15,0.213649,2125.76,117.19,27,6,0,0,0,0,0,0,PROCEED
clip_0111,C:\Users\senud\Documents\FINAL YEAR RESEARCH\Voice_Dataset\clip_0111.wav,"almost a year here, and it has...",5.0,0.003641,0.002779,232.53,66.04,0.221502,2198.48,125.0,33,7,0,0,0,0,0,0,PROCEED
